Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2015,"90004
(34.07646, -118.309453)",Children (0-17),117,91.7,6037,LOS ANGELES
2015,"90011
(34.007055, -118.258872)",Children (0-17),381,102.8,6037,LOS ANGELES
2015,"90002
(33.949079, -118.247877)",Children (0-17),227,123.8,6037,LOS ANGELES
2013,"90004
(34.07646, -118.309453)",Children (0-17),169,129.4,6037,LOS ANGELES
2014,"90012
(34.064406, -118.239532)",Children (0-17),22,69.1,6037,LOS ANGELES
2013,"90015
(34.038913, -118.266298)",Children (0-17),49,121,6037,LOS ANGELES
2013,"90003
(33.963074, -118.274809)",Children (0-17),307,130.1,6037,LOS ANGELES
2015,"90005
(34.059746, -118.308884)",Children (0-17),52,40.4,6037,LOS ANGELES
2014,"90016
(34.029223, -118.35294)",Children (0-17),168,144.7,6037,LOS ANGELES
2014,"90004
(34.07646, -118.309453)",Children (0-17),135,101.9,6037,LOS ANGELES
2014,"90003
(33.963074, -118.274809)",Children (0-17),327,138.5,6037,LOS ANGELES
2015,"90001
(33.973252, -118.249154)",Children (0-17),212,105.8,6037,LOS ANGELES
2014,"90015
(34.038913, -118.266298)",Children (0-17),56,137.2,6037,LOS ANGELES
2014,"90001
(33.973252, -118.249154)",Children (0-17),203,103.1,6037,LOS ANGELES
2014,"90006
(34.048637, -118.293869)",Children (0-17),147,101.3,6037,LOS ANGELES
2015,"90016
(34.029223, -118.35294)",Children (0-17),178,156.9,6037,LOS ANGELES
2013,"90024
(34.063591, -118.437175)",Children (0-17),15,44.9,6037,LOS ANGELES
2015,"90031
(34.079698, -118.213962)",Children (0-17),84,84.9,6037,LOS ANGELES
2013,"90019
(34.048752, -118.340015)",Children (0-17),106,78.4,6037,LOS ANGELES
2014,"90028
(34.09981, -118.327083)",Children (0-17),37,126.5,6037,LOS ANGELES
2014,"90029
(34.089903, -118.294656)",Children (0-17),62,82,6037,LOS ANGELES
2015,"90022
(34.024487, -118.155755)",Children (0-17),195,97.3,6037,LOS ANGELES
2013,"90023
(34.023995, -118.202424)",Children (0-17),157,104.1,6037,LOS ANGELES
2015,"90020
(34.066269, -118.309481)",Children (0-17),42,123,6037,LOS ANGELES
2014,"90017
(34.052895, -118.2642)",Children (0-17),66,111,6037,LOS ANGELES
2013,"90028
(34.09981, -118.327083)",Children (0-17),36,123.4,6037,LOS ANGELES
2015,"90029
(34.089903, -118.294656)",Children (0-17),89,112.6,6037,LOS ANGELES
2014,"90026
(34.078894, -118.264087)",Children (0-17),145,106.8,6037,LOS ANGELES
2014,"90043
(33.988604, -118.335291)",Children (0-17),180,178.9,6037,LOS ANGELES
2013,"90043
(33.988604, -118.335291)",Children (0-17),159,156.4,6037,LOS ANGELES
2014,"90033
(34.050157, -118.211432)",Children (0-17),184,127.9,6037,LOS ANGELES
2013,"90037
(34.002504, -118.286782)",Children (0-17),225,119.6,6037,LOS ANGELES
2014,"90032
(34.080773, -118.177882)",Children (0-17),110,95.5,6037,LOS ANGELES
2015,"90038
(34.088618, -118.32649)",Children (0-17),45,84.4,6037,LOS ANGELES
2015,"90042
(34.115224, -118.191967)",Children (0-17),108,71.6,6037,LOS ANGELES
2015,"90041
(34.137321, -118.207164)",Children (0-17),21,42.5,6037,LOS ANGELES
2013,"90040
(33.995379, -118.150703)",Children (0-17),34,123.6,6037,LOS ANGELES
2015,"90040
(33.995379, -118.150703)",Children (0-17),36,97.5,6037,LOS ANGELES
2015,"90036
(34.069624, -118.349681)",Children (0-17),24,34.2,6037,LOS ANGELES
2014,"90039
(34.109617, -118.260085)",Children (0-17),29,57.6,6037,LOS ANGELES
2014,"90044
(33.952658, -118.291781)",Children (0-17),474,165.5,6037,LOS ANGELES
2014,"90037
(34.002504, -118.286782)",Children (0-17),248,129.9,6037,LOS ANGELES
2013,"90042
(34.115224, -118.191967)",Children (0-17),123,81.4,6037,LOS ANGELES
2013,"90062
(34.003587, -118.308985)",Children (0-17),130,149.9,6037,LOS ANGELES
2014,"90062
(34.003587, -118.308985)",Children (0-17),145,171.7,6037,LOS ANGELES
2014,"90047
(33.955791, -118.308916)",Children (0-17),216,182,6037,LOS ANGELES
2013,"90045
(33.957455, -118.398979)",Children (0-17),45,64.3,6037,LOS ANGELES
2014,"90065
(34.109642, -118.226785)",Children (0-17),93,85.9,6037,LOS ANGELES
2014,"90046
(34.105325, -118.364441)",Children (0-17),17,38.8,6037,LOS ANGELES
2015,"90059
(33.926931, -118.248178)",Children (0-17),194,129.8,6037,LOS ANGELES
2014,"90066
(34.002048, -118.431218)",Children (0-17),46,44.2,6037,LOS ANGELES
2013,"90059
(33.926931, -118.248178)",Children (0-17),226,151.9,6037,LOS ANGELES
2013,"90201
(33.971609, -118.171234)",Children (0-17),237,72.4,6037,LOS ANGELES
2013,"90044
(33.952658, -118.291781)",Children (0-17),458,158.6,6037,LOS ANGELES
2014,"90063
(34.044874, -118.185304)",Children (0-17),145,83.9,6037,LOS ANGELES
2015,"90065
(34.109642, -118.226785)",Children (0-17),83,76.3,6037,LOS ANGELES
2015,"90064
(34.035932, -118.426899)",Children (0-17),14,27.1,6037,LOS ANGELES
2013,"90057
(34.062568, -118.277209)",Children (0-17),101,92.8,6037,LOS ANGELES
2015,"90045
(33.957455, -118.398979)",Children (0-17),38,51.8,6037,LOS ANGELES
2013,"90064
(34.035932, -118.426899)",Children (0-17),14,27.7,6037,LOS ANGELES
2013,"90242
(33.920376, -118.141201)",Children (0-17),85,72.1,6037,LOS ANGELES
2013,"90248
(33.87676, -118.286071)",Children (0-17),18,94.8,6037,LOS ANGELES
2013,"90240
(33.956433, -118.117736)",Children (0-17),25,41.9,6037,LOS ANGELES
2013,"90221
(33.890737, -118.205412)",Children (0-17),193,106.5,6037,LOS ANGELES
2014,"90242
(33.920376, -118.141201)",Children (0-17),94,80.9,6037,LOS ANGELES
2015,"90242
(33.920376, -118.141201)",Children (0-17),93,77.5,6037,LOS ANGELES
2015,"90240
(33.956433, -118.117736)",Children (0-17),37,54.3,6037,LOS ANGELES
2013,"90241
(33.940852, -118.128056)",Children (0-17),85,79.2,6037,LOS ANGELES
2014,"90232
(34.018705, -118.392072)",Children (0-17),13,45,6037,LOS ANGELES
2015,"90241
(33.940852, -118.128056)",Children (0-17),92,91.7,6037,LOS ANGELES
2013,"90249
(33.900582, -118.318325)",Children (0-17),69,112.3,6037,LOS ANGELES
2013,"90245
(33.918775, -118.403388)",Children (0-17),14,46.4,6037,LOS ANGELES
2013,"90222
(33.911047, -118.236494)",Children (0-17),138,128.3,6037,LOS ANGELES
2014,"90249
(33.900582, -118.318325)",Children (0-17),61,101.2,6037,LOS ANGELES
2015,"90249
(33.900582, -118.318325)",Children (0-17),62,100.3,6037,LOS ANGELES
2015,"90291
(33.993032, -118.463796)",Children (0-17),17,42,6037,LOS ANGELES
2014,"90266
(33.889678, -118.400246)",Children (0-17),18,22.3,6037,LOS ANGELES
2013,"90250
(33.914594, -118.350791)",Children (0-17),347,134.1,6037,LOS ANGELES
2015,"90272
(34.060998, -118.538301)",Children (0-17),13,26.2,6037,LOS ANGELES
2013,"90275
(33.758511, -118.363978)",Children (0-17),18,25.8,6037,LOS ANGELES
2015,"90260
(33.887582, -118.352257)",Children (0-17),101,111.6,6037,LOS ANGELES
2013,"90278
(33.87238, -118.371402)",Children (0-17),58,64.4,6037,LOS ANGELES
2015,"90278
(33.87238, -118.371402)",Children (0-17),45,48.5,6037,LOS ANGELES
2015,"90262
(33.923893, -118.201293)",Children (0-17),171,78.4,6037,LOS ANGELES
2014,"90278
(33.87238, -118.371402)",Children (0-17),39,41,6037,LOS ANGELES
2014,"90255
(33.976822, -118.217319)",Children (0-17),192,83.5,6037,LOS ANGELES
2015,"90266
(33.889678, -118.400246)",Children (0-17),15,19.2,6037,LOS ANGELES
2014,"90260
(33.887582, -118.352257)",Children (0-17),123,136.4,6037,LOS ANGELES
2014,"90272
(34.060998, -118.538301)",Children (0-17),14,29.6,6037,LOS ANGELES
2013,"90302
(33.975064, -118.355839)",Children (0-17),103,139.4,6037,LOS ANGELES
2014,"90404
(34.026301, -118.473889)",Children (0-17),24,79,6037,LOS ANGELES
2013,"90503
(33.84092, -118.352263)",Children (0-17),42,46.4,6037,LOS ANGELES
2015,"90303
(33.935554, -118.330101)",Children (0-17),105,148.5,6037,LOS ANGELES
2015,"90405
(34.010653, -118.470964)",Children (0-17),18,46.9,6037,LOS ANGELES
2013,"90403
(34.030608, -118.490564)",Children (0-17),13,41.2,6037,LOS ANGELES
2014,"90504
(33.8697, -118.330257)",Children (0-17),46,72.8,6037,LOS ANGELES
2013,"90303
(33.935554, -118.330101)",Children (0-17),103,140.1,6037,LOS ANGELES
2015,"90601
(34.006995, -118.038284)",Children (0-17),65,102.6,6037,LOS ANGELES
2014,"90602
(33.96826, -118.032861)",Children (0-17),66,101.7,6037,LOS ANGELES
2015,"90404
(34.026301, -118.473889)",Children (0-17),25,82.4,6037,LOS ANGELES
2013,"90504
(33.8697, -118.330257)",Children (0-17),43,70.2,6037,LOS ANGELES
2014,"90505
(33.81014, -118.350582)",Children (0-17),31,43.7,6037,LOS ANGELES
2014,"90604
(33.930179, -118.011116)",Children (0-17),95,93.3,6037,LOS ANGELES
2014,"90621
(33.874753, -117.993222)",Children (0-17),68,72.8,6059,ORANGE
2013,"90606
(33.977359, -118.067358)",Children (0-17),74,89.3,6037,LOS ANGELES
2013,"90630
(33.817529, -118.039306)",Children (0-17),33,32.8,6059,ORANGE
2015,"90630
(33.817529, -118.039306)",Children (0-17),53,54.5,6059,ORANGE
2015,"90602
(33.96826, -118.032861)",Children (0-17),78,116.8,6037,LOS ANGELES
2015,"90620
(33.843645, -118.011847)",Children (0-17),87,87.1,6059,ORANGE
2015,"90640
(34.01573, -118.113367)",Children (0-17),118,76.3,6037,LOS ANGELES
2013,"90638
(33.904081, -118.00854)",Children (0-17),56,58.1,6037,LOS ANGELES
2014,"90631
(33.93685, -117.95205)",Children (0-17),122,71.4,6059,ORANGE
2015,"90605
(33.946845, -118.02893)",Children (0-17),112,108.4,6037,LOS ANGELES
2014,"90605
(33.946845, -118.02893)",Children (0-17),125,117.7,6037,LOS ANGELES
2013,"90631
(33.93685, -117.95205)",Children (0-17),148,86.8,6059,ORANGE
2014,"90623
(33.849916, -118.042253)",Children (0-17),18,63.3,6059,ORANGE
2013,"90620
(33.843645, -118.011847)",Children (0-17),63,62.3,6059,ORANGE
2013,"90710
(33.797641, -118.298903)",Children (0-17),61,105,6037,LOS ANGELES
2013,"90715
(33.840909, -118.079698)",Children (0-17),51,106.1,6037,LOS ANGELES
2014,"90680
(33.800996, -117.996018)",Children (0-17),55,63.3,6059,ORANGE
2014,"90706
(33.88777, -118.127923)",Children (0-17),210,101.9,6037,LOS ANGELES
2014,"90712
(33.850294, -118.146843)",Children (0-17),51,72.1,6037,LOS ANGELES
2013,"90712
(33.850294, -118.146843)",Children (0-17),38,53.5,6037,LOS ANGELES
2013,"90670
(33.933818, -118.066781)",Children (0-17),26,73.9,6037,LOS ANGELES
2013,"90680
(33.800996, -117.996018)",Children (0-17),51,57.9,6059,ORANGE
2015,"90713
(33.84747, -118.113442)",Children (0-17),26,41.5,6037,LOS ANGELES
2015,"90706
(33.88777, -118.127923)",Children (0-17),186,91.5,6037,LOS ANGELES
2015,"90710
(33.797641, -118.298903)",Children (0-17),63,98.2,6037,LOS ANGELES
2014,"90717
(33.793519, -118.316294)",Children (0-17),26,56.9,6037,LOS ANGELES
2013,"90703
(33.867623, -118.068782)",Children (0-17),42,49.6,6037,LOS ANGELES
2013,"90706
(33.88777, -118.127923)",Children (0-17),228,109.9,6037,LOS ANGELES
2013,"90745
(33.824414, -118.266777)",Children (0-17),119,91.3,6037,LOS ANGELES
2014,"90744
(33.783419, -118.261469)",Children (0-17),171,102.2,6037,LOS ANGELES
2015,"90805
(33.8657, -118.182006)",Children (0-17),336,118.9,6037,LOS ANGELES
2015,"90746
(33.860839, -118.257405)",Children (0-17),80,168.6,6037,LOS ANGELES
2015,"90804
(33.782586, -118.150276)",Children (0-17),96,98.1,6037,LOS ANGELES
2014,"90732
(33.737324, -118.312603)",Children (0-17),26,71.5,6037,LOS ANGELES
2015,"90731
(33.73657, -118.287112)",Children (0-17),198,134.2,6037,LOS ANGELES
2014,"90806
(33.80429, -118.18833)",Children (0-17),148,122,6037,LOS ANGELES
2013,"90720
(33.795271, -118.070649)",Children (0-17),16,35.6,6059,ORANGE
2014,"90755
(33.802585, -118.168005)",Children (0-17),17,67.8,6037,LOS ANGELES
2013,"90804
(33.782586, -118.150276)",Children (0-17),99,101.7,6037,LOS ANGELES
2013,"90744
(33.783419, -118.261469)",Children (0-17),151,88.1,6037,LOS ANGELES
2014,"90745
(33.824414, -118.266777)",Children (0-17),116,91,6037,LOS ANGELES
2015,"90740
(33.75924, -118.076025)",Children (0-17),12,42.2,6059,ORANGE
2013,"90802
(33.762854, -118.199285)",Children (0-17),64,93.5,6037,LOS ANGELES
2013,"90746
(33.860839, -118.257405)",Children (0-17),87,170.6,6037,LOS ANGELES
2015,"90813
(33.781633, -118.19496)",Children (0-17),242,134.3,6037,LOS ANGELES
2014,"90808
(33.823415, -118.113064)",Children (0-17),39,49.4,6037,LOS ANGELES
2013,"91007
(34.127822, -118.049089)",Children (0-17),15,24.7,6037,LOS ANGELES
2013,"91001
(34.191995, -118.138697)",Children (0-17),47,59.3,6037,LOS ANGELES
2015,"90810
(33.817246, -118.218929)",Children (0-17),100,101.5,6037,LOS ANGELES
2015,"91030
(34.111328, -118.15602)",Children (0-17),16,31.8,6037,LOS ANGELES
2015,"90814
(33.771365, -118.143234)",Children (0-17),27,99.7,6037,LOS ANGELES
2015,"91010
(34.137557, -117.965596)",Children (0-17),46,78.4,6037,LOS ANGELES
2015,"91016
(34.146987, -117.999414)",Children (0-17),67,73.4,6037,LOS ANGELES
2015,"91001
(34.191995, -118.138697)",Children (0-17),46,59.3,6037,LOS ANGELES
2013,"91010
(34.137557, -117.965596)",Children (0-17),43,72.4,6037,LOS ANGELES
2014,"90815
(33.795998, -118.117913)",Children (0-17),32,42.6,6037,LOS ANGELES
2014,"91107
(34.153059, -118.088024)",Children (0-17),29,44,6037,LOS ANGELES
2015,"91106
(34.140985, -118.127306)",Children (0-17),14,34.3,6037,LOS ANGELES
2013,"91104
(34.167532, -118.123296)",Children (0-17),36,43.1,6037,LOS ANGELES
2014,"91202
(34.167175, -118.268335)",Children (0-17),16,39.5,6037,LOS ANGELES
2015,"91206
(34.159017, -118.222854)",Children (0-17),29,51.1,6037,LOS ANGELES
2013,"91201
(34.16981, -118.289789)",Children (0-17),19,51.8,6037,LOS ANGELES
2013,"91203
(34.153263, -118.263838)",Children (0-17),13,56.5,6037,LOS ANGELES
2013,"91202
(34.167175, -118.268335)",Children (0-17),18,44.1,6037,LOS ANGELES
2014,"91204
(34.136054, -118.260219)",Children (0-17),29,96.8,6037,LOS ANGELES
2014,"91104
(34.167532, -118.123296)",Children (0-17),31,37.4,6037,LOS ANGELES
2013,"91106
(34.140985, -118.127306)",Children (0-17),27,70.9,6037,LOS ANGELES
2014,"91201
(34.16981, -118.289789)",Children (0-17),20,54,6037,LOS ANGELES
2015,"91325
(34.236515, -118.517758)",Children (0-17),48,83.9,6037,LOS ANGELES
2015,"91307
(34.198683, -118.658084)",Children (0-17),42,80,6037,LOS ANGELES
2013,"91304
(34.220394, -118.624412)",Children (0-17),136,115.2,6037,LOS ANGELES
2013,"91303
(34.198696, -118.601933)",Children (0-17),72,99.7,6037,LOS ANGELES
2014,"91325
(34.236515, -118.517758)",Children (0-17),57,91.7,6037,LOS ANGELES
2014,"91306
(34.209245, -118.575768)",Children (0-17),126,114.1,6037,LOS ANGELES
2014,"91324
(34.239004, -118.549618)",Children (0-17),49,93.6,6037,LOS ANGELES
2014,"91311
(34.267262, -118.595523)",Children (0-17),51,75.9,6037,LOS ANGELES
2013,"91214
(34.232387, -118.247355)",Children (0-17),26,44.3,6037,LOS ANGELES
2015,"91324
(34.239004, -118.549618)",Children (0-17),62,118.5,6037,LOS ANGELES
2013,"91302
(34.135081, -118.666211)",Children (0-17),12,19.3,6037,LOS ANGELES
2015,"91304
(34.220394, -118.624412)",Children (0-17),116,98.8,6037,LOS ANGELES
2013,"91340
(34.285891, -118.437069)",Children (0-17),143,138.5,6037,LOS ANGELES
2013,"91335
(34.200868, -118.540634)",Children (0-17),162,93.7,6037,LOS ANGELES
2014,"91351
(34.427178, -118.470771)",Children (0-17),47,52.9,6037,LOS ANGELES
2015,"91342
(34.314352, -118.407984)",Children (0-17),208,84.3,6037,LOS ANGELES
2013,"91355
(34.416351, -118.574425)",Children (0-17),22,29.7,6037,LOS ANGELES
2015,"91350
(34.432547, -118.512536)",Children (0-17),31,33,6037,LOS ANGELES
2014,"91342
(34.314352, -118.407984)",Children (0-17),217,86.5,6037,LOS ANGELES
2014,"90713
(33.84747, -118.113442)",Children (0-17),40,62.7,6037,LOS ANGELES
2015,"90017
(34.052895, -118.2642)",Children (0-17),70,109.1,6037,LOS ANGELES
2013,"90301
(33.956998, -118.358491)",Children (0-17),119,125.9,6037,LOS ANGELES
2014,"90008
(34.0088, -118.346393)",Children (0-17),108,146.6,6037,LOS ANGELES
2014,"91345
(34.265253, -118.461801)",Children (0-17),38,88.9,6037,LOS ANGELES
2013,"90755
(33.802585, -118.168005)",Children (0-17),14,59.1,6037,LOS ANGELES
2014,"91326
(34.278174, -118.55281)",Children (0-17),27,40.5,6037,LOS ANGELES
2015,"91311
(34.267262, -118.595523)",Children (0-17),50,76.2,6037,LOS ANGELES
2015,"90802
(33.762854, -118.199285)",Children (0-17),74,104.6,6037,LOS ANGELES
2014,"90277
(33.829778, -118.383577)",Children (0-17),24,42.7,6037,LOS ANGELES
2014,"91302
(34.135081, -118.666211)",Children (0-17),16,28,6037,LOS ANGELES
2014,"90606
(33.977359, -118.067358)",Children (0-17),75,91.5,6037,LOS ANGELES
2014,"90703
(33.867623, -118.068782)",Children (0-17),50,60.5,6037,LOS ANGELES
2015,"90302
(33.975064, -118.355839)",Children (0-17),64,86.8,6037,LOS ANGELES
2013,"90806
(33.80429, -118.18833)",Children (0-17),118,97,6037,LOS ANGELES
2015,"90703
(33.867623, -118.068782)",Children (0-17),57,73.3,6037,LOS ANGELES
2013,"90041
(34.137321, -118.207164)",Children (0-17),29,55.3,6037,LOS ANGELES
2013,"90603
(33.944167, -117.992404)",Children (0-17),50,111.8,6037,LOS ANGELES
2013,"90304
(33.936814, -118.359195)",Children (0-17),94,105.7,6037,LOS ANGELES
2013,"90007
(34.027762, -118.28507)",Children (0-17),88,126.2,6037,LOS ANGELES
2014,"91331
(34.255322, -118.42306)",Children (0-17),314,101.9,6037,LOS ANGELES
2013,"90640
(34.01573, -118.113367)",Children (0-17),134,86.2,6037,LOS ANGELES
2013,"90723
(33.898482, -118.164457)",Children (0-17),138,83.5,6037,LOS ANGELES
2015,"90003
(33.963074, -118.274809)",Children (0-17),340,142.7,6037,LOS ANGELES
2014,"91303
(34.198696, -118.601933)",Children (0-17),77,106.2,6037,LOS ANGELES
2013,"91103
(34.165622, -118.161022)",Children (0-17),56,80.4,6037,LOS ANGELES
2015,"90008
(34.0088, -118.346393)",Children (0-17),99,137.3,6037,LOS ANGELES
2013,"91316
(34.167351, -118.51634)",Children (0-17),20,40.9,6037,LOS ANGELES
2015,"90035
(34.051963, -118.383981)",Children (0-17),16,26.5,6037,LOS ANGELES
2015,"90063
(34.044874, -118.185304)",Children (0-17),145,83.7,6037,LOS ANGELES
2013,"90012
(34.064406, -118.239532)",Children (0-17),25,69.5,6037,LOS ANGELES
2014,"90059
(33.926931, -118.248178)",Children (0-17),226,153.6,6037,LOS ANGELES
2014,"90640
(34.01573, -118.113367)",Children (0-17),136,87.3,6037,LOS ANGELES
2014,"90731
(33.73657, -118.287112)",Children (0-17),172,112.1,6037,LOS ANGELES
2015,"90745
(33.824414, -118.266777)",Children (0-17),127,99.7,6037,LOS ANGELES
2014,"90301
(33.956998, -118.358491)",Children (0-17),126,133.6,6037,LOS ANGELES
2015,"90046
(34.105325, -118.364441)",Children (0-17),18,45,6037,LOS ANGELES
2015,"90305
(33.95935, -118.327713)",Children (0-17),29,132.9,6037,LOS ANGELES
2014,"90002
(33.949079, -118.247877)",Children (0-17),246,131.3,6037,LOS ANGELES
2015,"90232
(34.018705, -118.392072)",Children (0-17),20,70.8,6037,LOS ANGELES
2013,"90266
(33.889678, -118.400246)",Children (0-17),16,20.8,6037,LOS ANGELES
2014,"91001
(34.191995, -118.138697)",Children (0-17),46,59.1,6037,LOS ANGELES
2015,"90732
(33.737324, -118.312603)",Children (0-17),19,51.2,6037,LOS ANGELES
2015,"90023
(34.023995, -118.202424)",Children (0-17),178,125.6,6037,LOS ANGELES
2013,"90061
(33.923076, -118.274317)",Children (0-17),92,105.9,6037,LOS ANGELES
2013,"90277
(33.829778, -118.383577)",Children (0-17),24,42.5,6037,LOS ANGELES
2013,"90027
(34.121686, -118.29056)",Children (0-17),43,73.1,6037,LOS ANGELES
2014,"90502
(33.832124, -118.292909)",Children (0-17),27,73.1,6037,LOS ANGELES
2015,"90623
(33.849916, -118.042253)",Children (0-17),21,68.9,6059,ORANGE
2014,"91205
(34.136458, -118.243347)",Children (0-17),51,78,6037,LOS ANGELES
2014,"90746
(33.860839, -118.257405)",Children (0-17),70,140.8,6037,LOS ANGELES
2013,"90732
(33.737324, -118.312603)",Children (0-17),21,57.9,6037,LOS ANGELES
2013,"90305
(33.95935, -118.327713)",Children (0-17),34,119.2,6037,LOS ANGELES
2014,"90270
(33.988479, -118.187185)",Children (0-17),61,69,6037,LOS ANGELES
2015,"91321
(34.370818, -118.506223)",Children (0-17),57,66.3,6037,LOS ANGELES
2013,"90262
(33.923893, -118.201293)",Children (0-17),153,68.1,6037,LOS ANGELES
2015,"90603
(33.944167, -117.992404)",Children (0-17),31,70.8,6037,LOS ANGELES
2014,"91214
(34.232387, -118.247355)",Children (0-17),17,30.6,6037,LOS ANGELES
2013,"90731
(33.73657, -118.287112)",Children (0-17),210,136.9,6037,LOS ANGELES
2014,"90011
(34.007055, -118.258872)",Children (0-17),392,103.9,6037,LOS ANGELES
2015,"90034
(34.030429, -118.399737)",Children (0-17),65,64.8,6037,LOS ANGELES
2014,"90630
(33.817529, -118.039306)",Children (0-17),34,34,6059,ORANGE
2013,"90701
(33.868335, -118.080733)",Children (0-17),33,100,6037,LOS ANGELES
2015,"90049
(34.07698, -118.480783)",Children (0-17),13,20.1,6037,LOS ANGELES
2015,"91205
(34.136458, -118.243347)",Children (0-17),43,68.3,6037,LOS ANGELES
2013,"90031
(34.079698, -118.213962)",Children (0-17),70,66.4,6037,LOS ANGELES
2014,"90034
(34.030429, -118.399737)",Children (0-17),58,56.6,6037,LOS ANGELES
2015,"90701
(33.868335, -118.080733)",Children (0-17),21,63.1,6037,LOS ANGELES
2014,"90291
(33.993032, -118.463796)",Children (0-17),15,40.1,6037,LOS ANGELES
2013,"90038
(34.088618, -118.32649)",Children (0-17),57,107.8,6037,LOS ANGELES
2014,"90241
(33.940852, -118.128056)",Children (0-17),83,77.2,6037,LOS ANGELES
2015,"90277
(33.829778, -118.383577)",Children (0-17),14,25.4,6037,LOS ANGELES
2013,"90230
(33.995175, -118.399974)",Children (0-17),22,33.9,6037,LOS ANGELES
2013,"90033
(34.050157, -118.211432)",Children (0-17),188,129.4,6037,LOS ANGELES
2015,"90606
(33.977359, -118.067358)",Children (0-17),85,103.4,6037,LOS ANGELES
2013,"90660
(33.988149, -118.089908)",Children (0-17),129,81.3,6037,LOS ANGELES
2013,"91344
(34.28183, -118.502684)",Children (0-17),67,67.9,6037,LOS ANGELES
2014,"90262
(33.923893, -118.201293)",Children (0-17),174,77.5,6037,LOS ANGELES
2015,"90027
(34.121686, -118.29056)",Children (0-17),27,49.8,6037,LOS ANGELES
2014,"90240
(33.956433, -118.117736)",Children (0-17),37,61.1,6037,LOS ANGELES
2015,"90028
(34.09981, -118.327083)",Children (0-17),34,118.3,6037,LOS ANGELES
2014,"90221
(33.890737, -118.205412)",Children (0-17),233,129.6,6037,LOS ANGELES
2014,"90601
(34.006995, -118.038284)",Children (0-17),76,99.7,6037,LOS ANGELES
2014,"91344
(34.28183, -118.502684)",Children (0-17),65,65.1,6037,LOS ANGELES
2015,"90061
(33.923076, -118.274317)",Children (0-17),125,147.4,6037,LOS ANGELES
2013,"90034
(34.030429, -118.399737)",Children (0-17),56,55,6037,LOS ANGELES
2013,"90022
(34.024487, -118.155755)",Children (0-17),186,90.8,6037,LOS ANGELES
2014,"90710
(33.797641, -118.298903)",Children (0-17),60,96.2,6037,LOS ANGELES
2014,"90804
(33.782586, -118.150276)",Children (0-17),108,112.7,6037,LOS ANGELES
2015,"90222
(33.911047, -118.236494)",Children (0-17),135,133.7,6037,LOS ANGELES
2015,"90744
(33.783419, -118.261469)",Children (0-17),181,110.1,6037,LOS ANGELES
2013,"90020
(34.066269, -118.309481)",Children (0-17),57,75.8,6037,LOS ANGELES
2015,"90621
(33.874753, -117.993222)",Children (0-17),88,97.3,6059,ORANGE
2015,"90047
(33.955791, -118.308916)",Children (0-17),184,153.6,6037,LOS ANGELES
2014,"90650
(33.906944, -118.083926)",Children (0-17),244,89.1,6037,LOS ANGELES
2014,"90040
(33.995379, -118.150703)",Children (0-17),36,125.8,6037,LOS ANGELES
2013,"90650
(33.906944, -118.083926)",Children (0-17),270,97.2,6037,LOS ANGELES
2015,"90715
(33.840909, -118.079698)",Children (0-17),46,92.9,6037,LOS ANGELES
2013,"90815
(33.795998, -118.117913)",Children (0-17),25,32.9,6037,LOS ANGELES
2014,"90023
(34.023995, -118.202424)",Children (0-17),176,115.7,6037,LOS ANGELES
2014,"90275
(33.758511, -118.363978)",Children (0-17),20,25,6037,LOS ANGELES
2015,"90221
(33.890737, -118.205412)",Children (0-17),213,119.5,6037,LOS ANGELES
2014,"91320
(34.163619, -118.95474)",Children (0-17),25,24.3,6111,VENTURA
2015,"90247
(33.89181, -118.296621)",Children (0-17),136,117.9,6037,LOS ANGELES
2014,"90042
(34.115224, -118.191967)",Children (0-17),116,77.6,6037,LOS ANGELES
2015,"90806
(33.80429, -118.18833)",Children (0-17),155,132.8,6037,LOS ANGELES
2014,"90057
(34.062568, -118.277209)",Children (0-17),110,104.4,6037,LOS ANGELES
2013,"91307
(34.198683, -118.658084)",Children (0-17),25,49.6,6037,LOS ANGELES
2014,"90701
(33.868335, -118.080733)",Children (0-17),25,76.4,6037,LOS ANGELES
2014,"91343
(34.2389, -118.481122)",Children (0-17),195,121.6,6037,LOS ANGELES
2014,"91335
(34.200868, -118.540634)",Children (0-17),193,112.1,6037,LOS ANGELES
2015,"90503
(33.84092, -118.352263)",Children (0-17),39,43.4,6037,LOS ANGELES
2013,"90807
(33.830057, -118.181178)",Children (0-17),52,75.3,6037,LOS ANGELES
2015,"90007
(34.027762, -118.28507)",Children (0-17),71,100.9,6037,LOS ANGELES
2013,"90810
(33.817246, -118.218929)",Children (0-17),96,92.7,6037,LOS ANGELES
2013,"90011
(34.007055, -118.258872)",Children (0-17),371,99.4,6037,LOS ANGELES
2015,"90631
(33.93685, -117.95205)",Children (0-17),136,79.3,6059,ORANGE
2013,"90008
(34.0088, -118.346393)",Children (0-17),115,157.3,6037,LOS ANGELES
2013,"90601
(34.006995, -118.038284)",Children (0-17),61,79.7,6037,LOS ANGELES
2015,"90201
(33.971609, -118.171234)",Children (0-17),241,75.6,6037,LOS ANGELES
2014,"91106
(34.140985, -118.127306)",Children (0-17),20,50.4,6037,LOS ANGELES
2013,"90063
(34.044874, -118.185304)",Children (0-17),135,76.9,6037,LOS ANGELES
